Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
0.25,4,2005_11,1210136213299.0552,0.7254188288711123
0.25,7,2005_11,271926233497.4546,1.0542655206286455
0.25,12,2005_11,644655734910.9133,1.2920368758863308
0.25,4,2005_12,1116429303817.6018,0.7394141506169172
0.25,7,2005_12,208685371057.80847,1.2644742848909754
0.25,12,2005_12,539806043356.7528,1.4139855454443864
0.25,4,2006_1,1034784968561.8911,0.9296665203692849
0.25,7,2006_1,157168754037.36386,1.183905499859438
0.25,12,2006_1,417138137593.6339,1.0711504814216886
0.25,4,2006_2,946140572939.0693,0.8560437362121794
0.25,7,2006_2,131188917283.58324,0.8787105470886061
0.25,12,2006_2,321648898061.7587,1.1241942050200127
0.25,4,2006_3,868339533027.8004,0.7841151078818502
0.25,7,2006_3,109292939423.10765,0.9461507214427183
0.25,12,2006_3,308676556220.41174,1.526889400289723
0.25,4,2006_4,795413362856.7693,0.6774923071489487
0.25,7,2006_4,109018825130.79138,0.8687355932265743
0.25,12,2006_4,343362183536.40326,1.7157551235681798
0.25,4,2006_5,726847145842.716,0.6514068478177367
0.25,7,2006_5,117300525710.35452,0.8564977790980891
0.25,12,2006_5,403649053694.7431,2.083768811793627
0.25,4,2006_6,666462306681.9635,0.7133441215036863
0.25,7,2006_6,130831186591.74303,0.9685623265589758
0.25,12,2006_6,431424454709.20044,1.9967670128792185
0.25,4,2006_7,608197522417.0757,0.7256186651321326
0.25,7,2006_7,143098306446.268,1.3034521341947347
0.25,12,2006_7,439098907630.3043,2.4117130604534234
0.25,4,2006_8,559499261231.248,0.6848434400475877
0.25,7,2006_8,161338015787.50125,1.792063706220828
0.25,12,2006_8,425605912293.1497,1.0549404774809648
0.25,4,2006_9,530808455427.0798,0.6043793786249135
0.25,7,2006_9,163170868102.3661,1.4254676810143285
0.25,12,2006_9,400581897832.32324,2.0037250660809334
0.25,4,2006_10,505017485470.3615,0.6504158664830333
0.25,7,2006_10,145032045255.63196,1.2174190875700297
