Resolution,Site,Year_Month,Total_surface_dic_masked,MeanTemp,MeanTemp_whole_mask_no_weighted
1,4,2004_07,5603073516744.661,27.895911484773478,14.779382324218773
1,7,2004_07,1056290412490.3904,17.844215656669178,21.707818603515648
1,12,2004_07,1706010742644.2134,-1.8126327952361407,1.1375061035156477
1,4,2004_08,5024870158358.494,28.2775612045956,15.515100097656273
1,7,2004_08,784963053191.0717,17.30461522425827,21.409417724609398
1,12,2004_08,1152317603900.3408,-1.8021483970542818,0.9657531738281477
1,4,2004_09,4446521634230.436,28.66115115572393,14.978784179687523
1,7,2004_09,639818761770.638,17.03445262036189,21.455010986328148
1,12,2004_09,949440202385.2024,-1.820344926689586,0.9147888183593977
1,4,2004_10,4154867514827.3325,28.696471054741608,14.058312988281273
1,7,2004_10,560692193936.0957,17.097498245168367,21.742547607421898
1,12,2004_10,892374014404.2051,-1.836761797580607,1.0345397949218977
1,4,2004_11,3752860628391.599,28.1563599544898,13.146325683593773
1,7,2004_11,476200530461.779,17.69917423259369,22.273187255859398
1,12,2004_11,850750278490.6636,-1.7816485879914694,1.4318786621093977
1,4,2004_12,3191261737150.2134,27.616168441156844,12.494531250000023
1,7,2004_12,361585005858.7303,19.258507294674928,22.781182861328148
1,12,2004_12,744740513356.3428,-1.4965907482943521,2.5002685546875227
1,4,2005_01,2650505297739.825,27.111310569193563,12.077325439453148
1,7,2005_01,305427553134.35474,20.205011584361557,23.203179931640648
1,12,2005_01,654225009998.0828,-1.1261378232861148,3.7657104492187727
1,4,2005_02,2176111451795.5383,26.75401525591144,11.903527832031273
1,7,2005_02,270091824262.9095,20.571175610109947,23.503289794921898
1,12,2005_02,544608637227.7391,-0.9739780332078567,4.060876464843773
1,4,2005_03,1888783216628.6404,26.79513868838677,11.930871582031273
1,7,2005_03,227618190307.1524,20.966464197557514,23.583795166015648
1,12,2005_03,506514386347.2528,-1.4839272767662237,3.4922729492187727
1,4,2005_04,1673719976743.4968,27.01374117575608,12.157769775390648
1,7,2005_04,202065645420.76483,19.71592710723712,23.306390380859398
1,12,2005_04,528753623289.3351,-1.799859036548753,2.6225524902343977
1,4,2005_05,1485706293719.3408,27.515017762478465,12.695489501953148
1,7,2005_05,176608625018.2388,18.632828167724085,22.925592041015648
1,12,2005_05,552445737746.2229,-1.8449957693096053,1.9525390625000227
1,4,2005_06,1307681751585.2488,27.92621863483754,13.721459960937523
1,7,2005_06,184794719101.00552,17.385370237276277,22.320764160156273
1,12,2005_06,559025885451.9434,-1.8511801474593312,1.5075927734375227
1,4,2005_07,1221537103482.6345,28.146763498442112,14.930749511718773
1,7,2005_07,212343748209.46655,16.49627549116036,21.792810058593773
1,12,2005_07,553096680233.995,-1.8487964663952425,1.1605468750000227
1,4,2005_08,1163994561071.799,28.338508823032328,15.527368164062523
1,7,2005_08,233008328121.82724,16.15742452481743,21.481530761718773
1,12,2005_08,527467088515.4291,-1.8387059992386412,0.9617553710937727
1,4,2005_09,1133182446730.9336,28.390899685744557,15.031854248046898
1,7,2005_09,251336653119.43942,15.973289313927637,21.466516113281273
1,12,2005_09,468224140016.1402,-1.8254501609671365,0.9165893554687727
1,4,2005_10,1127317430381.2048,28.079687925829433,14.038537597656273
1,7,2005_10,245305209014.68506,16.067078476939514,21.779260253906273
1,12,2005_10,411268997164.94226,-1.7758311851487179,1.0333496093750227
1,4,2005_11,1087324852152.6471,27.422406627871624,13.162835693359398
1,7,2005_11,204682995417.83542,16.788576988737304,22.218652343750023
1,12,2005_11,370839570455.9984,-1.5371195143297882,1.4793640136718977
1,4,2005_12,1015602547015.6686,26.815769620801916,12.519433593750023
1,7,2005_12,158414189720.0245,17.795095657123,22.797448730468773
1,12,2005_12,312592201059.0456,-1.168048015822933,2.5304504394531477
1,4,2006_01,945845137471.7346,26.260653597598548,12.104608154296898
1,7,2006_01,120773051951.3176,19.264458084672754,23.118341064453148
1,12,2006_01,237534631963.60895,-0.19619959490353267,3.9210754394531477
1,4,2006_02,859989271323.6641,25.914232826894818,11.913049316406273
